host_listings_count,accommodates,bathrooms,bedrooms,guests_included,minimum_nights,number_of_reviews,calculated_host_listings_count,price,latitude,longitude,room_type,instant_bookable
1.0,6,1.0,2.0,1,3,4,1,$145.00,52.3611730498,4.8667545817,Entire home/apt,f
1.0,2,1.0,1.0,1,2,17,1,$88.00,52.3702365562,4.8595066743,Entire home/apt,f
1.0,2,1.0,1.0,2,2,4,1,$130.00,52.3620157576,4.8668724595,Entire home/apt,f
2.0,4,1.0,2.0,2,4,2,2,$110.00,52.3658259275,4.8581779735,Entire home/apt,f
1.0,2,1.0,1.0,1,3,10,1,$115.00,52.3641792864,4.8648848496,Entire home/apt,f
1.0,1,1.0,1.0,1,1,11,1,$70.00,52.3597530757,4.8661760481,Private room,f
1.0,2,1.5,1.0,1,2,3,1,$120.00,52.3678703892,4.8641288929,Entire home/apt,f
1.0,2,1.0,1.0,1,1,33,1,$45.00,52.3734096998,4.8651539977,Private room,f
3.0,2,,1.0,1,1,2,3,$45.00,52.3736421175,4.8605128209,Private room,f
1.0,4,1.0,2.0,4,2,13,1,$240.00,52.3686908149,4.873708175,Entire home/apt,f
1.0,2,1.0,1.0,1,3,0,1,$130.00,52.3714238698,4.8486441151,Entire home/apt,f
1.0,3,1.0,1.0,1,3,18,1,$185.00,52.3698407106,4.8716098481,Entire home/apt,f
1.0,3,1.0,1.0,2,4,4,1,$145.00,52.3582557821,4.8555528579,Entire home/apt,f
1.0,4,2.0,2.0,2,1,44,1,$300.00,52.3669030291,4.8755902823,Entire home/apt,f
1.0,2,1.0,1.0,1,2,0,1,$85.00,52.3698724953,4.8644143074,Private room,f
1.0,3,1.0,2.0,1,2,1,1,$179.00,52.3603845565,4.8535977428,Entire home/apt,f
1.0,4,1.0,2.0,1,2,2,1,$205.00,52.3610740273,4.8524449973,Entire home/apt,f
1.0,5,1.0,3.0,2,5,1,1,$175.00,52.3643314239,4.8722252831,Entire home/apt,f
2.0,2,1.0,1.0,1,4,11,2,$110.00,52.3634238406,4.8755772708,Private room,f
1.0,2,1.0,0.0,1,2,27,1,$120.00,52.3631536729,4.8636775368,Entire home/apt,f
1.0,4,1.0,2.0,2,3,10,1,$120.00,52.3711665082,4.853362177,Entire home/apt,f
1.0,2,1.0,1.0,1,1,115,1,$130.00,52.3610418437,4.8633026554,Entire home/apt,f
1.0,2,1.0,1.0,1,3,0,1,$90.00,52.3663164602,4.8507249527,Entire home/apt,t
3.0,4,1.0,1.0,3,2,0,2,$149.00,52.3661308308,4.8758694046,Entire home/apt,f
1.0,4,1.0,2.0,1,2,16,1,$190.00,52.3630159961,4.8602884407,Entire home/apt,f
1.0,2,1.0,1.0,1,2,2,1,$100.00,52.3588981756,4.8550143266,Entire home/apt,f
1.0,2,1.0,1.0,2,3,9,1,$99.00,52.3709675554,4.8518939784,Entire home/apt,f
1.0,2,1.0,1.0,2,14,3,1,$40.00,52.3709871564,4.8545474347,Private room,f
1.0,2,1.0,1.0,1,3,11,1,$115.00,52.3663101894,4.8695184368,Entire home/apt,f
1.0,2,1.0,1.0,1,4,0,1,$110.00,52.3622161479,4.8630967599,Entire home/apt,f
1.0,4,1.0,2.0,1,2,2,1,$100.00,52.3733650142,4.8531318862,Entire home/apt,f
1.0,4,1.0,2.0,4,2,4,1,$140.00,52.3667938405,4.8614599976,Entire home/apt,t
2.0,4,2.0,4.0,8,4,9,1,$350.00,52.3640343282,4.8520748071,Entire home/apt,f
1.0,4,1.0,2.0,1,2,10,1,$175.00,52.3696779596,4.8613264706,Entire home/apt,f
3.0,3,0.5,1.0,2,1,115,3,$100.00,52.3687972326,4.86610166,Private room,t
1.0,2,2.0,1.0,1,2,2,1,$140.00,52.3610208245,4.863533608,Entire home/apt,f
1.0,2,1.0,1.0,1,2,3,1,$125.00,52.3587757384,4.8578425098,Entire home/apt,f
1.0,4,1.0,4.0,1,2,1,1,$300.00,52.362452538,4.8736416713,Entire home/apt,f
24.0,3,1.0,1.0,2,3,2,20,$140.00,52.3607316217,4.8581751313,Entire home/apt,f
1.0,2,2.0,1.0,1,2,1,1,$65.00,52.3623332117,4.8663389099,Private room,f
1.0,2,1.0,1.0,1,5,6,1,$110.00,52.3689691218,4.8630603873,Entire home/apt,f
1.0,2,1.0,1.0,1,2,3,1,$120.00,52.3603681882,4.8626154597,Entire home/apt,t
1.0,2,1.0,2.0,1,5,5,1,$99.00,52.3700781365,4.8486205475,Entire home/apt,f
2.0,2,1.0,1.0,1,2,206,2,$74.00,52.360300128,4.8662724641,Private room,t
1.0,4,1.0,2.0,4,2,23,1,$215.00,52.3672995224,4.8509153764,Entire home/apt,f
1.0,4,1.5,3.0,2,5,1,1,$129.00,52.3728159147,4.8743193047,Entire home/apt,f
36.0,4,3.0,3.0,1,1,0,24,$235.00,52.3611824136,4.8569838601,Entire home/apt,f
1.0,2,1.0,1.0,2,2,13,1,$180.00,52.3672285663,4.8754458326000005,Entire home/apt,f
1.0,4,1.0,2.0,4,1,1,1,$200.00,52.3671758106,4.8648436353,Entire home/apt,f
1.0,4,1.0,2.0,1,3,31,1,$169.00,52.3701808196,4.8668774,Entire home/apt,f
1.0,2,1.0,1.0,1,2,11,1,$119.00,52.369463687,4.8589685881,Entire home/apt,f
1.0,4,1.0,2.0,1,1,0,1,$111.00,52.3597338435,4.85765332,Entire home/apt,f
1.0,4,1.0,2.0,1,2,8,1,$189.00,52.3694407848,4.8592824238,Entire home/apt,f
1.0,2,1.0,1.0,1,2,0,1,$118.00,52.3731301184,4.8606794323999996,Entire home/apt,f
1.0,2,1.0,1.0,2,3,20,1,$112.00,52.3629240901,4.8641883354,Entire home/apt,f
2.0,2,1.0,1.0,1,2,3,2,$99.00,52.3673481757,4.8519775175,Entire home/apt,f
1.0,4,2.0,3.0,4,4,2,1,$250.00,52.3694367833,4.8735923842,Entire home/apt,f
2.0,2,1.0,1.0,1,1,17,2,$69.00,52.3667294335,4.865582616,Private room,f
1.0,4,1.0,1.0,2,3,63,1,$100.00,52.3670193677,4.8758759206,Private room,f
1.0,4,1.5,3.0,2,2,3,1,$150.00,52.3674449034,4.8549060515,Entire home/apt,f
1.0,3,1.0,1.0,2,2,6,1,$85.00,52.3702973332,4.8492373725,Entire home/apt,f
1.0,2,1.0,1.0,2,1,3,1,$90.00,52.3668159716,4.8508610582,Private room,f
2.0,3,1.0,1.0,2,2,135,2,$97.00,52.3616426228,4.8736430991,Entire home/apt,f
1.0,2,1.0,1.0,1,1,11,1,$73.00,52.36496185,4.8561460348,Private room,f
1.0,2,1.0,1.0,1,3,8,1,$99.00,52.3634104155,4.874024586,Entire home/apt,f
7.0,4,1.0,1.0,2,3,0,7,$120.00,52.3719237555,4.8741662698,Entire home/apt,t
1.0,2,1.0,1.0,1,2,2,1,$65.00,52.3629183656,4.8538646835,Private room,f
1.0,3,1.0,1.0,2,3,6,1,$120.00,52.3636448141,4.8758928592,Entire home/apt,f
1.0,2,1.0,1.0,1,2,1,1,$120.00,52.3615329272,4.8614329713,Entire home/apt,f
1.0,2,1.0,1.0,2,1,25,1,$100.00,52.3658162054,4.8672274205,Entire home/apt,f
1.0,2,1.0,1.0,1,6,8,1,$99.00,52.3619613614,4.8535096473,Entire home/apt,f
1.0,4,1.0,1.0,2,2,1,1,$120.00,52.3620658612,4.8640552067,Entire home/apt,f
1.0,2,1.0,1.0,1,2,4,1,$100.00,52.3721871879,4.8664103688,Entire home/apt,f
29.0,2,1.0,1.0,1,4,13,28,$99.00,52.3663322857,4.8659347158,Entire home/apt,f
1.0,2,1.0,1.0,1,2,46,1,$90.00,52.3718890075,4.8627498745,Private room,f
1.0,2,2.0,1.0,1,2,1,1,$49.00,52.3598660273,4.8586920604,Private room,f
2.0,3,1.0,2.0,2,4,8,2,$89.00,52.367558717,4.8503495174,Entire home/apt,f
1.0,2,1.0,1.0,1,2,6,1,$85.00,52.3723649328,4.850561721,Private room,f
1.0,1,1.0,1.0,1,1,0,1,$80.00,52.3672200144,4.8702074225,Private room,f
1.0,2,1.0,1.0,1,2,2,1,$70.00,52.3738796444,4.8619309527,Private room,f
1.0,2,1.0,1.0,1,1,22,1,$110.00,52.3723118609,4.8504899449,Entire home/apt,f
3.0,2,1.0,1.0,1,1,0,3,$130.00,52.3632553864,4.8774043412,Private room,f
1.0,2,1.0,1.0,1,2,9,1,$90.00,52.3657150327,4.8641262117,Entire home/apt,f
3.0,3,1.0,0.0,2,2,38,1,$55.00,52.3179957594,4.9791640189,Entire home/apt,t
1.0,2,1.5,1.0,1,1,8,1,$40.00,52.3215457139,4.9601806477,Private room,f
2.0,2,1.0,1.0,1,1,7,2,$45.00,52.3221129508,4.9626411052,Private room,t
1.0,2,1.0,0.0,1,2,10,1,$70.00,52.3175473473,4.9809481825,Entire home/apt,f
1.0,2,1.0,1.0,1,1,22,1,$70.00,52.3156354115,4.978166362,Private room,f
2.0,5,1.0,1.0,2,1,2,2,$30.00,52.323004707,4.9766245037,Private room,f
1.0,2,1.0,1.0,2,1,20,1,$50.00,52.3232391368,4.9627126447,Private room,f
1.0,4,1.0,1.0,2,3,0,1,$70.00,52.3246455862,4.9751283697,Entire home/apt,f
6.0,2,1.0,1.0,1,1,2,6,$40.00,52.3204654305,4.9865418237,Private room,f
2.0,10,1.0,2.0,5,1,0,2,$142.00,52.3212479601,4.9785880371,Entire home/apt,f
5.0,3,1.0,1.0,2,1,11,5,$69.00,52.3152676748,4.982268691,Entire home/apt,t
2.0,2,1.0,1.0,1,3,2,2,$42.00,52.3210058363,4.9611152205,Private room,f
1.0,2,1.0,1.0,2,1,16,1,$50.00,52.3222250804,4.9642977634,Private room,t
8.0,4,1.0,1.0,1,4,5,1,$99.00,52.3255556227,4.9770126569,Entire home/apt,f
1.0,2,1.5,1.0,1,1,11,1,$59.00,52.3220569566,4.9814096443,Private room,t
2.0,4,1.0,1.0,3,2,1,2,$70.00,52.3217719568,4.9773014662,Entire home/apt,t
1.0,4,1.0,1.0,1,4,6,1,$80.00,52.3211354394,4.9657891079,Entire home/apt,f
1.0,5,1.0,4.0,1,5,2,1,$90.00,52.3128890597,4.9801512367,Entire home/apt,f
2.0,2,1.5,1.0,1,1,94,1,$59.00,52.3197842536,4.9625872474,Private room,t
3.0,2,1.0,1.0,1,1,2,3,$90.00,52.3220813705,4.9762436494,Private room,f
1.0,4,1.0,1.0,2,1,76,1,$50.00,52.3246633636,4.974472865,Private room,f
1.0,1,1.0,1.0,1,1,3,1,$45.00,52.3237539216,4.968984909,Private room,t
3.0,2,1.0,1.0,1,1,0,3,$85.00,52.3230578712,4.9776712585,Private room,f
1.0,3,1.5,1.0,1,3,13,1,$98.00,52.3177182466,4.9787207649,Entire home/apt,f
9.0,2,1.0,1.0,1,1,24,5,$59.00,52.3181104983,4.9782227504000005,Private room,t
1.0,4,1.0,2.0,1,5,0,1,$130.00,52.3163778882,4.9829093553,Entire home/apt,t
1.0,2,1.0,1.0,2,1,3,1,$50.00,52.3227700272,4.9621733362,Private room,t
2.0,4,1.0,1.0,3,2,0,1,$80.00,52.3232171742,4.9790452633,Entire home/apt,t
1.0,4,1.0,2.0,2,3,1,1,$120.00,52.3105281244,4.9713381144,Entire home/apt,f
1.0,4,1.0,2.0,4,3,27,1,$99.00,52.3218512493,4.9742706408,Entire home/apt,f
1.0,2,1.0,1.0,1,1,3,1,$30.00,52.3210425203,4.9776951255,Private room,f
3.0,2,1.0,1.0,1,2,1,3,$50.00,52.3225625215,4.9722503386,Private room,f
2.0,4,1.0,2.0,2,2,19,1,$120.00,52.3186501651,4.9773071645,Entire home/apt,f
1.0,2,1.0,1.0,1,1,4,1,$40.00,52.3217394843,4.97852242,Private room,f
1.0,2,1.0,1.0,1,2,186,1,$65.00,52.3245481424,4.9759684025,Private room,t
2.0,2,1.0,1.0,1,3,9,2,$55.00,52.3237886216,4.9814970418,Private room,f
1.0,5,1.0,3.0,1,17,0,1,$36.00,52.313327505,4.9722822628,Entire home/apt,t
1.0,4,1.0,2.0,4,2,27,1,$125.00,52.3212746436,4.9696730624,Entire home/apt,f
2.0,4,1.0,2.0,2,3,8,2,$115.00,52.3214948076,4.9784433453,Entire home/apt,f
2.0,2,1.0,1.0,1,2,12,2,$29.00,52.3177806279,4.9736158666,Private room,f
1.0,3,1.5,1.0,2,2,10,1,$98.00,52.319803702,4.982041119,Entire home/apt,t
1.0,4,1.5,3.0,1,3,10,1,$130.00,52.3177954928,4.9807843241,Entire home/apt,f
2.0,2,1.0,1.0,1,3,67,2,$40.00,52.3176009967,4.9853817233,Private room,f
2.0,2,1.0,1.0,1,3,16,2,$58.00,52.3233342849,4.9776223661,Private room,f
2.0,2,1.0,1.0,1,2,2,2,$33.00,52.3191337949,4.9738889952,Private room,f
1.0,2,1.0,1.0,2,1,8,1,$50.00,52.3228124309,4.9642933172,Private room,t
2.0,2,1.0,1.0,1,3,58,2,$45.00,52.3178132948,4.9858032551,Private room,f
