ID,Default,Loan_type,Gender,Age,Degree,Income,Credit_score,Loan_length,Signers,Citizenship
4247,0,Car,Female,48,College,85377,691,1,2,Citizen
4236,0,Car,Female,50,HS,115411,771,0,2,Citizen
4365,0,Car,Female,48,HS,72965,545,0,2,Citizen
4244,0,Car,Female,47,HS,103851,729,2,1,Citizen
4337,0,Home,Male,34,HS,89536,610,6,2,Citizen
4275,0,Car,Female,36,HS,104510,565,2,2,Citizen
4246,0,Home,Male,32,HS,115887,596,6,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4287,0,Car,Male,47,HS,127201,681,1,2,Citizen
4265,0,Car,Male,56,HS,68986,592,1,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4270,0,Home,Male,43,HS,78798,641,0,2,Citizen
4317,0,Home,Male,26,HS,87524,550,8,2,Citizen
4228,0,Home,Female,45,HS,91823,595,6,2,Citizen
4241,1,Car,Female,52,Graduate,139008,792,1,2,Non-citizen
4343,1,Home,Male,54,College,80685,611,6,2,Citizen
4356,1,Car,Male,53,HS,137569,652,2,2,Citizen
4252,0,Car,Female,36,HS,121274,558,0,2,Citizen
4237,0,Car,Female,50,HS,108483,691,2,2,Citizen
4253,0,Car,Male,42,HS,68529,558,1,2,Citizen
4343,1,Home,Male,54,College,80685,611,6,2,Citizen
4352,0,Car,Male,38,College,88484,558,1,2,Citizen
4348,0,Home,Male,33,HS,74852,560,5,2,Citizen
4280,0,Home,Female,41,HS,101384,601,0,2,Citizen
4318,0,Home,Male,42,HS,137442,598,5,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4298,0,Car,Female,57,HS,85407,769,2,2,Citizen
4343,1,Home,Male,54,College,80685,611,6,2,Citizen
4259,1,Car,Male,57,College,129862,662,2,2,Citizen
4321,0,Car,Female,44,HS,100396,592,1,2,Citizen
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4271,1,Home,Female,54,HS,94632,729,10,1,Citizen
4284,0,Car,Male,48,HS,141616,554,3,2,Citizen
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4259,1,Car,Male,57,College,129862,662,2,2,Citizen
4263,0,Car,Male,35,HS,73367,584,0,2,Citizen
4312,0,Car,Male,37,HS,102801,595,1,2,Citizen
4257,0,Home,Male,48,HS,85902,672,5,1,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4303,0,Car,Female,41,HS,76185,573,0,2,Citizen
4288,0,Home,Male,43,HS,89165,787,6,2,Citizen
4241,1,Car,Female,52,Graduate,139008,792,1,2,Non-citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4329,0,Car,Female,35,HS,76218,540,0,2,Citizen
4342,0,Car,Female,46,College,86351,600,0,2,Citizen
4307,0,Car,Male,44,College,106059,688,1,2,Citizen
4261,0,Home,Male,45,HS,84520,587,7,2,Citizen
4230,0,Home,Female,37,HS,72996,590,5,2,Citizen
4273,0,Car,Male,37,HS,86600,579,0,2,Citizen
4325,0,Home,Female,47,HS,135915,650,11,2,Citizen
4269,0,Home,Male,39,HS,109334,543,5,2,Citizen
4351,0,Home,Male,39,HS,119078,657,5,2,Citizen
4297,0,Car,Male,42,HS,61144,558,0,2,Citizen
4249,0,Car,Female,30,Graduate,94619,694,2,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4328,0,Home,Female,44,HS,108746,547,8,2,Citizen
4276,0,Car,Female,39,HS,72601,574,0,2,Citizen
4350,0,Car,Male,33,HS,108926,709,1,2,Citizen
4291,0,Home,Male,40,HS,105433,606,5,2,Citizen
4251,0,Car,Male,42,HS,87394,601,0,2,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4277,0,Home,Male,31,HS,73523,645,4,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4255,0,Car,Male,44,HS,106798,478,2,2,Citizen
4254,0,Car,Male,47,College,102738,624,3,2,Citizen
4227,0,Car,Male,42,College,97460,575,2,2,Citizen
4223,0,Home,Female,50,HS,92733,725,11,2,Citizen
4332,0,Car,Male,44,HS,82191,546,1,2,Citizen
4323,0,Home,Female,53,HS,115266,589,5,1,Citizen
4311,0,Home,Male,49,HS,92534,588,7,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4232,0,Home,Female,29,HS,82630,710,1,2,Citizen
4334,0,Car,Male,33,HS,100170,586,1,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4220,0,Home,Female,43,HS,105519,677,4,2,Citizen
4299,0,Car,Female,38,College,91555,576,0,2,Citizen
4300,0,Car,Male,47,HS,112050,715,3,2,Citizen
4340,0,Car,Female,36,College,95384,571,0,2,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4302,0,Car,Female,42,HS,81075,560,3,2,Citizen
4278,0,Home,Male,47,HS,105347,665,6,2,Citizen
4233,0,Home,Male,40,HS,104323,592,11,2,Citizen
4316,0,Car,Female,43,HS,107459,660,1,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4333,0,Car,Male,40,College,101265,747,2,2,Citizen
4241,1,Car,Female,52,Graduate,139008,792,1,2,Non-citizen
4344,0,Car,Male,40,College,98374,549,0,2,Citizen
4308,0,Car,Female,41,HS,107135,668,2,1,Non-citizen
4272,0,Car,Female,45,HS,105837,668,0,2,Citizen
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4347,0,Car,Male,42,HS,61637,513,1,2,Citizen
4324,0,Home,Male,43,HS,85315,515,5,2,Citizen
4221,0,Car,Female,48,College,92211,715,1,2,Citizen
4295,0,Car,Female,43,HS,100217,575,2,2,Citizen
4349,0,Car,Male,38,HS,80880,618,1,2,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4353,0,Car,Female,40,HS,97092,716,0,1,Citizen
4305,0,Home,Male,44,HS,116536,631,11,2,Citizen
4338,0,Car,Male,43,Graduate,99401,654,2,2,Citizen
4359,0,Home,Male,43,HS,103978,696,4,2,Citizen
4326,0,Home,Female,38,HS,79057,558,5,2,Citizen
4245,0,Car,Female,43,HS,90018,622,0,2,Citizen
4363,0,Car,Female,30,HS,68454,540,0,2,Citizen
4356,1,Car,Male,53,HS,137569,652,2,2,Citizen
4266,0,Home,Female,29,HS,117694,544,6,2,Citizen
4243,1,Home,Female,46,HS,120706,681,8,2,Citizen
4357,0,Car,Male,36,HS,60038,604,0,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4339,0,Home,Male,49,HS,112824,556,5,2,Citizen
4285,0,Home,Female,50,HS,102406,676,4,2,Citizen
4225,0,Car,Male,44,College,105427,633,1,2,Citizen
4346,0,Car,Male,45,HS,99581,589,0,2,Citizen
4330,0,Car,Female,36,College,86890,608,2,2,Citizen
4289,0,Car,Female,32,HS,100398,711,0,2,Citizen
4343,1,Home,Male,54,College,80685,611,6,2,Citizen
4356,1,Car,Male,53,HS,137569,652,2,2,Citizen
4314,0,Car,Female,52,HS,89526,536,0,2,Citizen
4309,0,Car,Male,42,HS,96315,687,2,2,Citizen
4283,0,Car,Female,54,HS,94157,643,0,1,Citizen
4336,0,Car,Female,45,College,108406,611,2,2,Citizen
4229,0,Car,Male,51,College,89476,515,3,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4248,0,Car,Male,26,HS,79845,595,0,2,Citizen
4281,0,Home,Male,43,HS,76369,551,2,2,Citizen
4368,0,Car,Male,30,HS,106459,530,0,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4360,0,Home,Female,33,HS,83560,604,1,2,Citizen
4306,0,Home,Male,36,HS,89547,620,6,2,Citizen
4286,0,Car,Female,39,HS,126294,684,0,2,Citizen
4240,0,Car,Male,46,College,86142,622,0,2,Citizen
4296,0,Car,Male,41,College,71636,607,2,2,Citizen
4271,1,Home,Female,54,HS,94632,729,10,1,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4364,0,Car,Female,47,HS,123862,648,1,2,Citizen
4366,0,Car,Male,41,HS,81326,635,2,2,Citizen
4294,0,Car,Female,53,HS,121814,586,3,2,Citizen
4335,0,Home,Male,43,HS,90942,619,7,2,Citizen
4304,0,Home,Female,41,HS,124591,603,5,2,Citizen
4282,0,Car,Male,33,HS,71053,579,0,2,Citizen
4268,0,Car,Male,46,HS,124511,508,2,2,Citizen
4343,1,Home,Male,54,College,80685,611,6,2,Citizen
4327,0,Home,Male,38,HS,96622,575,5,2,Citizen
4222,0,Car,Male,37,HS,79221,568,2,2,Citizen
4264,1,Home,Female,37,HS,140418,703,2,2,Citizen
4356,1,Car,Male,53,HS,137569,652,2,2,Citizen
4239,0,Car,Male,39,HS,84244,633,0,2,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4242,0,Car,Male,46,HS,104185,608,0,2,Citizen
4319,0,Car,Female,40,College,104028,710,2,2,Citizen
4367,0,Car,Female,47,HS,82698,583,2,1,Citizen
4361,0,Home,Female,49,HS,75149,622,5,2,Citizen
4345,0,Car,Male,47,HS,100781,639,0,1,Citizen
4258,0,Car,Male,52,HS,114109,688,1,2,Citizen
4219,1,Car,Female,45,HS,107278,771,0,2,Citizen
4259,1,Car,Male,57,College,129862,662,2,2,Citizen
4358,0,Car,Male,44,HS,97654,570,3,2,Citizen
4362,0,Home,Male,41,HS,84918,659,5,2,Citizen
4226,0,Home,Female,38,College,92884,631,2,2,Citizen
4231,1,Car,Male,46,College,75736,600,0,2,Citizen
4320,1,Car,Male,45,College,128576,710,1,2,Citizen
4313,0,Home,Male,32,HS,76153,604,3,2,Citizen
